[02/01/20 19:08:40] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:09:30] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:15:32] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:15:48] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:30:10] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:33:32] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:36:55] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:38:57] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:42:10] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:42:47] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:46:39] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:47:34] [INFO] received Windows console close event; shutting log-core down
[02/01/20 19:58:30] [INFO] received Windows console close event; shutting log-core down
[02/01/20 20:02:19] [INFO] received Windows console close event; shutting log-core down
[02/01/20 20:03:11] [INFO] received Windows console close event; shutting log-core down
[02/02/20 08:26:46] [INFO] received Windows console close event; shutting log-core down
[02/02/20 11:48:18] [INFO] received Windows console close event; shutting log-core down
[02/02/20 13:02:45] [INFO] received Windows console close event; shutting log-core down
[02/02/20 13:15:23] [INFO] received Windows console close event; shutting log-core down
[02/03/20 09:20:53] [INFO] received Windows console close event; shutting log-core down
[02/03/20 19:03:41] [INFO] received Windows console close event; shutting log-core down
[02/04/20 12:28:01] [INFO] received Windows console close event; shutting log-core down
[02/04/20 16:35:52] [INFO] received Windows console close event; shutting log-core down
[02/04/20 16:40:30] [INFO] received Windows console close event; shutting log-core down
[02/04/20 16:42:37] [INFO] received Windows console close event; shutting log-core down
[02/04/20 16:46:06] [INFO] received Windows console close event; shutting log-core down
[02/04/20 19:11:28] [INFO] received Windows console close event; shutting log-core down
[02/05/20 19:30:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/05/20 20:00:01] [INFO] received Windows console close event; shutting log-core down
[02/05/20 20:27:51] [INFO] received Windows console close event; shutting log-core down
[02/06/20 19:07:52] [INFO] received Windows console close event; shutting log-core down
[02/06/20 20:29:12] [INFO] received Windows console close event; shutting log-core down
[02/08/20 19:57:20] [INFO] received Windows console close event; shutting log-core down
[02/08/20 20:05:09] [INFO] received Windows console close event; shutting log-core down
[02/08/20 20:10:15] [INFO] received Windows console close event; shutting log-core down
[02/08/20 21:18:47] [INFO] received Windows console close event; shutting log-core down
[02/09/20 12:08:51] [INFO] received Windows console close event; shutting log-core down
[02/09/20 21:08:06] [INFO] received Windows console close event; shutting log-core down
[02/11/20 19:52:17] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/12/20 09:31:04] [INFO] received Windows console close event; shutting log-core down
[02/12/20 11:02:20] [INFO] received Windows console close event; shutting log-core down
[02/14/20 22:12:02] [INFO] received Windows console close event; shutting log-core down
[02/14/20 21:01:32] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/15/20 18:45:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/16/20 12:03:55] [INFO] received Windows console close event; shutting log-core down
[02/16/20 23:28:58] [INFO] received Windows console close event; shutting log-core down
[04/28/20 05:05:02] [INFO] received Windows console close event; shutting log-core down
[04/28/20 05:39:58] [INFO] received Windows console close event; shutting log-core down
[04/28/20 05:52:17] [INFO] received Windows console close event; shutting log-core down
[04/28/20 06:01:58] [INFO] received Windows console close event; shutting log-core down
[04/28/20 06:14:03] [INFO] received Windows console close event; shutting log-core down
[04/28/20 06:25:28] [INFO] received Windows console close event; shutting log-core down
[04/28/20 06:38:51] [INFO] received Windows console close event; shutting log-core down
[04/28/20 06:40:38] [INFO] received Windows console close event; shutting log-core down
[04/28/20 06:47:03] [INFO] received Windows console close event; shutting log-core down
[04/28/20 07:17:51] [INFO] received Windows console close event; shutting log-core down
[04/28/20 07:19:49] [INFO] received Windows console close event; shutting log-core down
[04/28/20 07:26:19] [INFO] received Windows console close event; shutting log-core down
[04/28/20 07:39:48] [INFO] received Windows console close event; shutting log-core down
[04/28/20 08:01:29] [INFO] received Windows console close event; shutting log-core down
[04/28/20 08:14:21] [INFO] received Windows console close event; shutting log-core down
[05/04/20 21:20:44] [INFO] received Windows console close event; shutting log-core down
[05/04/20 21:21:20] [INFO] received Windows console close event; shutting log-core down
[05/04/20 21:29:17] [INFO] received Windows console close event; shutting log-core down
[05/04/20 21:33:00] [INFO] received Windows console close event; shutting log-core down
[05/04/20 21:40:32] [INFO] received Windows console close event; shutting log-core down
[05/04/20 21:56:10] [INFO] received Windows console close event; shutting log-core down
[05/04/20 22:21:08] [INFO] received Windows console close event; shutting log-core down
[05/05/20 11:03:48] [INFO] received Windows console close event; shutting log-core down
[05/05/20 12:29:02] [INFO] received Windows console close event; shutting log-core down
[05/05/20 14:27:29] [INFO] received Windows console close event; shutting log-core down
[05/05/20 16:39:02] [INFO] received Windows console close event; shutting log-core down
[05/05/20 16:42:46] [INFO] received Windows console close event; shutting log-core down
[05/06/20 00:28:47] [INFO] received Windows console close event; shutting log-core down
[05/06/20 00:31:21] [INFO] received Windows console close event; shutting log-core down
[05/06/20 00:38:34] [INFO] received Windows console close event; shutting log-core down
[05/06/20 12:35:35] [INFO] received Windows console close event; shutting log-core down
[05/07/20 13:38:58] [INFO] received Windows console close event; shutting log-core down
[05/07/20 13:41:09] [INFO] received Windows console close event; shutting log-core down
[05/07/20 13:43:07] [INFO] received Windows console close event; shutting log-core down
[05/07/20 13:53:03] [INFO] received Windows console close event; shutting log-core down
[05/07/20 23:38:45] [INFO] received Windows console close event; shutting log-core down
[05/07/20 23:38:50] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:38:53] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:38:55] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:39:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:39:16] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:39:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:39:43] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:39:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:40:28] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:42:39] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:42:53] [INFO] received Windows console close event; shutting log-core down
[05/07/20 23:45:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/07/20 23:45:54] [INFO] received Windows console close event; shutting log-core down
[05/08/20 11:24:42] [INFO] received Windows console close event; shutting log-core down
[05/08/20 20:34:32] [INFO] received Windows console close event; shutting log-core down
[05/08/20 20:35:11] [INFO] received Windows console close event; shutting log-core down
[05/08/20 20:45:15] [INFO] received Windows console close event; shutting log-core down
[05/10/20 13:36:26] [INFO] received Windows console close event; shutting log-core down
[04/23/21 08:57:03] [INFO] received Windows console close event; shutting log-core down
[04/23/21 15:09:42] [INFO] received Windows console close event; shutting log-core down
[04/23/21 22:18:20] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/23/21 23:45:23] [INFO] received Windows console close event; shutting log-core down
[04/24/21 17:00:57] [INFO] received Windows console close event; shutting log-core down
[04/24/21 21:03:50] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/24/21 23:02:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/25/21 00:48:16] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/25/21 11:41:27] [INFO] received Windows console close event; shutting log-core down
[04/25/21 13:51:25] [INFO] received Windows console close event; shutting log-core down
[04/25/21 13:55:20] [INFO] received Windows console close event; shutting log-core down
[04/25/21 13:57:35] [INFO] received Windows console close event; shutting log-core down
[04/25/21 14:07:55] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/25/21 14:33:04] [INFO] received Windows console close event; shutting log-core down
[04/25/21 14:34:40] [INFO] received Windows console close event; shutting log-core down
[04/25/21 14:44:19] [INFO] received Windows console close event; shutting log-core down
[04/25/21 15:06:07] [INFO] received Windows console close event; shutting log-core down
[04/25/21 15:06:17] [INFO] received Windows console close event; shutting log-core down
[04/26/21 00:00:28] [INFO] received Windows console close event; shutting log-core down
[04/26/21 00:08:04] [INFO] received Windows console close event; shutting log-core down
[04/26/21 00:32:51] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/26/21 19:09:49] [INFO] received Windows console close event; shutting log-core down
[04/26/21 19:18:35] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/26/21 19:25:28] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/26/21 19:27:23] [INFO] received Windows console close event; shutting log-core down
[04/26/21 19:28:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/26/21 19:30:12] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/26/21 19:32:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/26/21 19:34:46] [INFO] received Windows console close event; shutting log-core down
[04/26/21 19:38:04] [INFO] received Windows console close event; shutting log-core down
[04/27/21 00:03:02] [INFO] received Windows console close event; shutting log-core down
[04/27/21 00:05:09] [INFO] received Windows console close event; shutting log-core down
